Date,TSA,PSI
2009-05-16,0.0049668876,0.00480048
2009-05-17,0.0047829286,0.00480048
2009-05-18,0.0044150115,0.0036003604
2009-05-19,0.0016556291,0.0009000901
2009-05-20,0.00039795166,0.00030003
2009-05-21,0.00019897583,0.0
2009-05-22,0.0017907826,0.00060006
2009-05-23,0.0040470934,0.0018001802
2009-05-24,0.0,0.0
2009-05-25,0.0,0.0
2009-05-26,0.0,0.0
2009-05-27,0.00019897583,0.0
2009-05-28,0.0007959033,0.00060006
2009-05-29,0.0,0.0
2009-05-30,0.0,0.0
2009-05-31,0.000919794,0.00030003
2009-06-01,0.021155262,0.012301231
2009-06-02,0.02759382,0.02190219
2009-06-03,0.016188374,0.014401441
2009-06-04,0.009749816,0.0090009
2009-06-05,0.008830023,0.00810081
2009-06-06,0.0009948793,0.00060006
2009-06-07,0.0007959033,0.00030003
2009-06-08,0.0009948793,0.00060006
2009-06-09,0.0020235467,0.0018001802
2009-06-10,0.0009948793,0.00060006
2009-06-11,0.00039795166,0.00030003
2009-06-12,0.0007959033,0.00030003
2009-06-13,0.00019897583,0.00030003
2009-06-14,0.0,0.0
2009-06-15,0.0,0.0
2009-06-16,0.00019897583,0.00030003
2009-06-17,0.002943341,0.0009000901
2009-06-18,0.00019897583,0.0
2009-06-19,0.0,0.0
2009-06-20,0.0,0.0
2009-06-21,0.0007959033,0.00060006
2009-06-22,0.009749816,0.0069006905
2009-06-23,0.0069904346,0.00540054
2009-06-24,0.006438558,0.00570057
2009-06-25,0.0020235467,0.0018001802
2009-06-26,0.00039795166,0.00030003
2009-06-27,0.0,0.0
2009-06-28,0.0,0.0
2009-06-29,0.0,0.0
2009-06-30,0.0,0.0
2009-07-01,0.0009948793,0.00030003
2009-07-02,0.0,0.0
2009-07-03,0.0,0.0
2009-07-04,0.015636498,0.01290129
2009-07-05,0.04396615,0.03960396
2009-07-06,0.05610743,0.047704775
2009-07-07,0.040654894,0.02970297
2009-07-08,0.059418693,0.03360336
2009-07-09,0.06328183,0.02340234
2009-07-10,0.03642384,0.0066006603
2009-07-11,0.0150846215,0.00060006
2009-07-12,0.0,0.0
2009-07-13,0.0,0.0
2009-07-14,0.00039795166,0.00030003
2009-07-15,0.00019897583,0.0
2009-07-16,0.0,0.0
2009-07-17,0.0,0.0
2009-07-18,0.0,0.0
2009-07-19,0.0,0.0
2009-07-20,0.0,0.0
