,H(TSA),H(PSI),PE(TSA),PE(PSI),LZC(TSA),LZC(PSI),I(TSA;PSI)
Daily,1.7788749670199857,1.3091473374915195,0.9044781331334238,0.8231371509378452,0.1254125412541254,0.09873487348734873,0.7556986975054607
Monthly,2.761467676510298,2.606327041952915,0.9972962317591406,0.9838097149705257,0.3893129770992366,0.366412213740458,2.0433199249972276
Annual,2.625814583683812,2.5849625007110566,0.6520308502546351,0.6520308502546351,0.75,0.75,2.355388542207534
