test,stat,value,ci_lo,ci_hi,p_naive,verdict
MW H_TSA,rank_biserial,0.9809523809523809,0.9619047619047619,1.0,1.7923542978571034e-10,robust (CI excludes 0)
MW LZC_TSA,rank_biserial,0.9661375661375662,0.9322751322751323,1.0,3.058162942025785e-11,robust (CI excludes 0)
MW MI,rank_biserial,0.9873015873015873,0.9746031746031746,1.0,1.3698096872862653e-10,robust (CI excludes 0)
MW PE_TSA,rank_biserial,0.03809523809523807,-0.28042328042328046,0.3555820105820104,0.8084457138305254,NOT robust
KS MI,D,0.39622641509433965,0.20754716981132076,0.8490566037735849,0.00041991009107145,CI reported
KS LZC_TSA,D,0.3584905660377358,0.1320754716981132,0.7735849056603774,0.0020217061601929603,CI reported
Pearson H-LZC,r,0.9656229158288937,0.6206408642652715,0.9800241202044679,1.1357327301575855e-62,CI reported
