scale,series,LZC_c_over_n,LZC_lognorm
Daily,TSA,0.1254125412541254,0.44654688855741687
Daily,PSI,0.09873487348734873,0.35155774778972076
Monthly,TSA,0.3893129770992366,0.8242811914385035
Monthly,PSI,0.366412213740458,0.7757940625303563
Annual,TSA,0.75,0.8093859345357185
Annual,PSI,0.75,0.8093859345357185
