estimator,MI_max,MI_min,modulation_ratio,mod_ci_lo,mod_ci_hi
plug-in n=10 (current),2.3356726621655532,0.44102036025530283,5.296065380776191,1.8299111381332154,5.296065380776191
plug-in n=5+,1.9220231428515728,0.6219041416291193,3.090545655182011,1.551108067676357,3.090545655182011
plug-in n=4,1.7381493331928668,0.5529772772015799,3.1432563413618344,1.6879265787084987,3.1432563413618344
Miller-Madow n=5,2.0052555490567054,0.677392412432541,2.9602568795474977,1.63088969477561,2.9602568795474977
Kraskov k=3,2.5579119551095886,1.8326009867505761,1.3957822644443059,1.2137052607517633,1.3957822644443059
Kraskov k=5,1.9788522147967393,1.4723896287850315,1.343973209339721,1.2052851224257959,1.343973209339721
