,Min_mean,Min_std,Max_mean,Max_std,MW_U,p_value
H_TSA,1.23018503920669,0.41105230289158373,2.6721993774638864,0.2611387133860906,9.0,1.7923542978571034e-10
H_PSI,1.048799908567748,0.33316741373975745,2.6636878427200816,0.326840947452877,9.0,1.7106403313224676e-10
LZC_TSA,0.4322344322344323,0.05426316804269605,0.6042735042735043,0.041507225874212295,16.0,3.058162942025785e-11
LZC_PSI,0.4120879120879121,0.05458674376711999,0.617948717948718,0.04292305185852842,13.0,6.040251056638951e-11
MI,0.9002588773494841,0.16648708663745618,1.9924686897620694,0.2233207080880684,6.0,1.3698096872862653e-10
PE_TSA,0.9702365386619256,0.02634738833729244,0.9752443460506532,0.014989308169491318,454.5,0.8084457138305254
PE_PSI,0.926840790336626,0.030015176297451377,0.9703864814020764,0.025285785480044825,96.5,2.234593766939543e-07
