Date,H_TSA,H_PSI,H_TSA_lo,H_TSA_hi,H_PSI_lo,H_PSI_hi,LZC_TSA,LZC_PSI,LZC_TSA_lo,LZC_TSA_hi,LZC_PSI_lo,LZC_PSI_hi,MI,MI_lo,MI_hi,PE_TSA,PE_PSI,C_LMC_TSA,C_LMC_PSI,H_norm_TSA,H_norm_PSI,D_JS_TSA,D_JS_PSI
2010-01-31,1.1951184583037255,0.7062740891847152,0.39124356362637025,1.5126447478167369,0.2351933818163561,0.9612366047199905,0.4230769230769231,0.38461538461538464,0.3076923076923077,0.5,0.2692307692307692,0.4230769230769231,0.44102036025530283,0.09636105587936429,0.6904942318427733,0.9227263529235348,0.9375506256529493,0.19579306150896153,0.13552272209873156,0.3597665043225237,0.2126096860058479,0.5442225975919004,0.6374249670591394
2010-02-28,1.2389012565983024,0.7793498372891996,0.6193821946758783,1.5126447478167369,0.39124356362637025,0.9828586897098204,0.46153846153846156,0.34615384615384615,0.34615384615384615,0.5,0.3076923076923077,0.4230769230769231,0.4716575295997775,0.1588649490151622,0.681100851510027,0.9227263529235348,0.9434264036139222,0.2013972782537029,0.14779756966579072,0.37294643990329696,0.23460767814088268,0.5400166262638789,0.6299775473547707
2010-03-31,1.4464643745150223,0.9996551889154157,0.7062740891847152,1.7549369174433567,0.39124356362637025,1.309806832069223,0.46153846153846156,0.38461538461538464,0.34615384615384615,0.5384615384615384,0.3076923076923077,0.46153846153846156,0.6919628812274358,0.2255712653831953,1.0065226419885378,0.8793673110428117,0.9148244814338403,0.21131707403512645,0.17286347229183355,0.43542916439018914,0.300926197186094,0.4853075800080417,0.5744380978068655
2010-04-30,1.6503255293336303,1.140115678510281,0.8403586716062317,2.038324054143862,0.515946930004562,1.4604846813087833,0.46153846153846156,0.4230769230769231,0.38461538461538464,0.5384615384615384,0.34615384615384615,0.5,0.8324233708223012,0.28356831539335436,1.1873492354480286,0.8793673110428119,0.9026565502105818,0.21405627320292062,0.18867132014133203,0.49679748694170867,0.34320901775979634,0.4308722947063473,0.5497271644341772
2010-05-31,1.7442626474416607,1.1951184583037255,0.8929327644193564,2.116892798925269,0.515946930004562,1.502035275980168,0.5,0.4230769230769231,0.38461538461538464,0.5769230769230769,0.34615384615384615,0.5,0.8874261506157465,0.3116439201554075,1.280277579192591,0.9227263529235348,0.9227263529235348,0.21834625062103924,0.19579306150896145,0.5250753771984555,0.35976650432252366,0.41583791604555453,0.5442225975919003
2010-06-30,1.765679621064719,1.2389012565983024,0.9828586897098204,2.112692168735416,0.6193821946758783,1.5126447478167369,0.5,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.34615384615384615,0.5,0.8958364666586308,0.3292256618430886,1.261071091669043,0.9513282751036165,0.9434264036139222,0.21987598390117716,0.20139727825370285,0.5315225286753402,0.3729464399032969,0.4136719932627349,0.5400166262638789
2010-07-31,1.831859994364991,1.4464643745150223,1.1415819291593217,2.118348110046644,0.7793498372891996,1.7304400154641917,0.5,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.38461538461538464,0.5384615384615384,0.9785875654292344,0.43517561468536936,1.31860305697527,0.9691138820426664,0.9434264036139222,0.22270293876178002,0.21131707403512645,0.5514448061629615,0.43542916439018914,0.4038535430433765,0.4853075800080417
2010-08-31,1.9408779503702467,1.5443683177134013,1.2955566727473158,2.18675439511061,0.8904916402166061,1.8349207387500175,0.5,0.46153846153846156,0.4230769230769231,0.5769230769230769,0.38461538461538464,0.5384615384615384,1.0764915086276134,0.49722052627209545,1.4377615356839315,0.9434264036139222,0.9227263529235348,0.2229751242260298,0.2184859546848114,0.584262480986519,0.46490118798668334,0.38163519219912845,0.46996213460110525
2010-09-30,2.1212608709800658,1.7442626474416607,1.3519589152895406,2.3975819111736967,0.9825351833238065,2.1118820258659974,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.42211538461538467,0.5769230769230769,1.2763858383573154,0.5433477314411104,1.7445280740720601,0.9148244814338403,0.899437113755765,0.21030383318474294,0.21834625062103913,0.638563150795969,0.5250753771984554,0.3293391310203215,0.4158379160455544
2010-10-31,2.218542602248559,1.8629613523332116,1.4034099330255514,2.4400204899337057,1.0577422381227313,2.162058807594558,0.5384615384615384,0.5,0.46153846153846156,0.6153846153846154,0.4230769230769231,0.5769230769230769,1.3950845432488663,0.5981304131515637,1.8042838645162993,0.9296487541632549,0.899437113755765,0.20595757291968986,0.22024180091788134,0.6678478699379075,0.5608072478172785,0.30838995254838286,0.3927228147907964
2010-11-30,2.3857932001546844,1.947996533159371,1.5465379331247733,2.622900778477012,1.1867198445284284,2.180978687744415,0.5769230769230769,0.5384615384615384,0.46153846153846156,0.6153846153846154,0.4230769230769231,0.5769230769230769,1.480119724075025,0.7207745827130667,1.8284768541773573,0.903703173489329,0.8659166507994517,0.1850387702552623,0.2219297767077238,0.7181953167008066,0.5864053879326627,0.257644078083494,0.37845794270431926
2010-12-31,2.545089717463868,2.1339375660862605,1.607066609996809,2.7956017398476103,1.300083221825436,2.366978627226361,0.5769230769230769,0.5384615384615384,0.5,0.6538461538461539,0.46153846153846156,0.5769230769230769,1.6660607570033583,0.8092273937808577,2.0557402875037787,0.9296487541632549,0.8659166507994516,0.1593435182294896,0.20915035933517548,0.7661483466160973,0.6423792162688204,0.20797998055242647,0.3255870582955645
2011-01-31,2.6181718147673343,2.237397409774446,1.6934545559847638,2.830086238010678,1.369769796175515,2.4455668778886688,0.6153846153846154,0.5384615384615384,0.5,0.6538461538461539,0.46153846153846156,0.6153846153846154,1.7695206006915432,0.8693274061522462,2.1300965864753065,0.947434361102305,0.899437113755765,0.1500482284987653,0.2047131812736334,0.788148250050474,0.6735237325656702,0.1903807164314024,0.30394353068126423
2011-02-28,2.6181718147673343,2.3346791410429386,1.6930276684265562,2.830086238010678,1.4956321302619437,2.4933597956226605,0.6153846153846154,0.5769230769230769,0.5,0.6538461538461539,0.46153846153846156,0.6153846153846154,1.804893082943235,0.9211990743008771,2.1707006976627974,0.947434361102305,0.8915352422660704,0.1500482284987653,0.1988908225182339,0.788148250050474,0.7028084517076088,0.1903807164314024,0.2829943522093257
