date,plug10,plug5,plug4,mm5,ksg3,ksg5
2010-01-31,0.44102036025530283,1.6691803368667315,1.3782167779508954,1.7524127430718632,2.3387332854360725,1.9028641106131643
2010-02-28,0.4716575295997775,1.8110063971992434,1.2705446454590277,1.894238803404376,2.5079725113865097,1.948135493459131
2010-03-31,0.6919628812274358,1.5077577608066892,0.5529772772015799,1.590990167011822,2.5579119551095886,1.9431811835659685
2010-04-30,0.8324233708223012,1.7116189156267405,0.6967036676983712,1.8225954572335832,2.5440398874087338,1.9788522147967393
2010-05-31,0.8874261506157465,1.6194506283013155,0.7379313020947731,1.7026830345064479,2.521844579087365,1.9596735307214295
2010-06-30,0.8958364666586308,1.6762400841760654,0.7705077726065189,1.7594724903811985,2.424740105181377,1.9719161809463113
2010-07-31,0.9785875654292344,1.7172273023973532,0.9051146386919531,1.800459708602486,2.337808480922683,1.8768594884628307
2010-08-31,1.0764915086276134,1.749322181479532,0.9782569951068117,1.8048104522829536,2.466356308283943,1.9037448768163938
2010-09-30,1.2763858383573154,1.406151854510199,1.0278678604004854,1.4893842607153314,2.360928593757442,1.880096304259697
2010-10-31,1.3950845432488663,1.5367918955052846,0.919525774918086,1.6200243017104166,2.3831239020788106,1.8991208542494413
2010-11-30,1.480119724075025,1.6880351443926183,1.0437031515246156,1.7712675505977504,2.4774539624446277,1.9314890122181043
2010-12-31,1.6660607570033583,1.8879294741223205,1.1841636411194805,1.9989060157291636,2.4820779850115793,1.9055284283779317
2011-01-31,1.7695206006915432,1.4365703397565666,1.4792269947662393,1.4643144751582775,2.421965691641206,1.9319293953197185
2011-02-28,1.804893082943235,1.457987313379625,1.35441497561868,1.4857314487813356,2.269372946931795,1.8930215482920818
2011-03-31,1.8967244507472554,1.5101473798875782,1.3158243335257078,1.5378915152892891,2.401619992346618,1.8935500080140195
2011-04-30,1.917188642118005,1.5460832385893675,1.3226458764871922,1.5738273739910782,2.40809362394035,1.9510420219297862
2011-05-31,2.0069003003715915,1.6205089475789576,1.2768829930121253,1.6482530829806685,2.43121373677511,1.9449647351275072
2011-06-30,1.9449910513547912,1.5639445250012964,1.3127518417229658,1.5639445250012969,2.373875856944907,1.8863057059924608
2011-07-31,1.9590113581471096,1.6262839186819582,1.3695412975977164,1.6540280540836694,2.417341669074254,1.900574118484769
2011-08-31,1.9149633955422383,1.6010907636029739,1.6950948917019528,1.6288348990046848,2.4497098270429154,1.8102075060334821
2011-09-30,1.9009430887499197,1.5869649197853222,1.6537086695356908,1.6147090551870327,2.362778202784223,1.8234189990819167
2011-10-31,1.8875386446885054,1.5907470639251433,1.6190597988675006,1.6184911993268538,2.128802660896462,1.853343030836619
2011-11-30,1.882704143954937,1.5837928536411416,1.6252379112871926,1.6115369890428521,2.1778173001061507,1.9082367844528607
2011-12-31,1.9446133929717373,1.5837928536411416,1.6252379112871926,1.6115369890428521,2.1805917136463213,1.9277897941645425
2012-01-31,1.9586336997640559,1.6520404502110395,1.6321921215711945,1.67978458561275,2.1759676910793697,1.8957519235220914
